text,id
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Apuiarés ', 'O valor do Matrícula em distorção no ensino fundamental: no município Apuiarés 467.0 ']",23
"['Quantidade no Matrícula em distorção no ensino médio no município Apuiarés em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: no município Apuiarés 467.0 ']",24
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na unidade geográfica Aquiraz ', 'O nível do Matrícula em distorção no ensino fundamental na unidade geográfica Aquiraz é: 3372.0 ']",25
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Aquiraz ', 'Número do Matrícula em distorção no ensino médio no município Aquiraz 3372.0 ']",26
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade Aracati ', 'O nível do Matrícula em distorção no ensino fundamental na cidade Aracati é: 1695.0 ']",27
"['Qual o Matrícula em distorção no ensino médio no município Aracati em 2007 ', 'O Matrícula em distorção no ensino médio no município Aracati é 1695.0 ']",28
"['Qual o Matrícula em distorção no ensino fundamental na cidade Aracoiaba em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Aracoiaba é 1063.0 ']",29
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Aracoiaba ', 'Número do Matrícula em distorção no ensino médio no município Aracoiaba 1063.0 ']",30
"['Quantidade no Matrícula em distorção no ensino fundamental no município Ararendá em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: no município Ararendá 573.0 ']",31
"['Quais os números Matrícula em distorção no ensino médio na cidade Ararendá em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Ararendá 573.0']",32
"['Quantidade no Matrícula em distorção no ensino fundamental na unidade geográfica Araripe em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na unidade geográfica Araripe 1958.0 ']",33
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Araripe ', 'O valor do Matrícula em distorção no ensino médio: na cidade Araripe 1958.0 ']",34
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Aratuba ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Aratuba 410.0 ']",35
"['Quantidade no Matrícula em distorção no ensino médio na cidade Aratuba em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na cidade Aratuba 410.0 ']",36
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Arneiroz em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Arneiroz 226.0']",37
"['Qual o Matrícula em distorção no ensino médio no município Arneiroz em 2007 ', 'O Matrícula em distorção no ensino médio no município Arneiroz é 226.0 ']",38
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Assaré em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Assaré 1519.0']",39
"['Número do Matrícula em distorção no ensino médio  em 2007 na cidade Assaré ', 'Número do Matrícula em distorção no ensino médio na cidade Assaré 1519.0 ']",40
"['Quantidade no Matrícula em distorção no ensino fundamental no município Aurora em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: no município Aurora 1577.0 ']",41
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Aurora ', 'O nível do Matrícula em distorção no ensino médio na cidade Aurora é: 1577.0 ']",42
"['Qual o Matrícula em distorção no ensino fundamental no município Baixio em 2007 ', 'O Matrícula em distorção no ensino fundamental no município Baixio é 362.0 ']",43
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Baixio ', 'Número do Matrícula em distorção no ensino médio no município Baixio 362.0 ']",44
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Banabuiú em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Banabuiú 930.0']",45
"['Quais os números Matrícula em distorção no ensino médio na cidade Banabuiú em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Banabuiú 930.0']",46
"['Qual o Matrícula em distorção no ensino fundamental na unidade geográfica Barbalha em 2007 ', 'O Matrícula em distorção no ensino fundamental na unidade geográfica Barbalha é 2059.0 ']",47
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 no município Barbalha ', 'O valor do Matrícula em distorção no ensino médio: no município Barbalha 2059.0 ']",48
"['Qual o Matrícula em distorção no ensino fundamental na cidade Barreira em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Barreira é 885.0 ']",49
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Barreira ', 'O nível do Matrícula em distorção no ensino médio na cidade Barreira é: 885.0 ']",50
"['Quais os números Matrícula em distorção no ensino fundamental no município Barro em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Barro 983.0']",51
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica Barro ', 'O valor do Matrícula em distorção no ensino médio: na unidade geográfica Barro 983.0 ']",52
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Barroquinha ', 'O valor do Matrícula em distorção no ensino fundamental: no município Barroquinha 854.0 ']",53
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Barroquinha ', 'O valor do Matrícula em distorção no ensino médio: na cidade Barroquinha 854.0 ']",54
"['Quais os números Matrícula em distorção no ensino fundamental no município Baturité em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Baturité 1591.0']",55
"['Número do Matrícula em distorção no ensino médio  em 2007 na cidade Baturité ', 'Número do Matrícula em distorção no ensino médio na cidade Baturité 1591.0 ']",56
"['Quais os números Matrícula em distorção no ensino fundamental no município Beberibe em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Beberibe 2046.0']",57
"['Quantidade no Matrícula em distorção no ensino médio na cidade Beberibe em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na cidade Beberibe 2046.0 ']",58
"['Qual o Matrícula em distorção no ensino fundamental na unidade geográfica Bela Cruz em 2007 ', 'O Matrícula em distorção no ensino fundamental na unidade geográfica Bela Cruz é 886.0 ']",59
"['Quantidade no Matrícula em distorção no ensino médio na unidade geográfica Bela Cruz em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na unidade geográfica Bela Cruz 886.0 ']",60
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Boa Viagem ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Boa Viagem 3074.0 ']",61
"['Qual o Matrícula em distorção no ensino médio na cidade Boa Viagem em 2007 ', 'O Matrícula em distorção no ensino médio na cidade Boa Viagem é 3074.0 ']",62
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na cidade Brejo Santo ', 'Número do Matrícula em distorção no ensino fundamental na cidade Brejo Santo 2108.0 ']",63
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Brejo Santo ', 'Número do Matrícula em distorção no ensino médio no município Brejo Santo 2108.0 ']",64
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 no município Camocim ', 'O nível do Matrícula em distorção no ensino fundamental no município Camocim é: 1539.0 ']",65
"['Número do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica Camocim ', 'Número do Matrícula em distorção no ensino médio na unidade geográfica Camocim 1539.0 ']",66
"['Qual o Matrícula em distorção no ensino fundamental no município Campos Sales em 2007 ', 'O Matrícula em distorção no ensino fundamental no município Campos Sales é 1506.0 ']",67
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica Campos Sales ', 'O valor do Matrícula em distorção no ensino médio: na unidade geográfica Campos Sales 1506.0 ']",68
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Canindé ', 'O valor do Matrícula em distorção no ensino fundamental: no município Canindé 4314.0 ']",69
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Canindé ', 'O valor do Matrícula em distorção no ensino médio: na cidade Canindé 4314.0 ']",70
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Capistrano ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Capistrano 575.0 ']",71
"['Quais os números Matrícula em distorção no ensino médio na cidade Capistrano em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Capistrano 575.0']",72
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade Caridade ', 'O nível do Matrícula em distorção no ensino fundamental na cidade Caridade é: 1401.0 ']",73
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 no município Caridade ', 'O valor do Matrícula em distorção no ensino médio: no município Caridade 1401.0 ']",74
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na cidade Cariré ', 'O valor do Matrícula em distorção no ensino fundamental: na cidade Cariré 917.0 ']",75
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 no município Cariré ', 'O valor do Matrícula em distorção no ensino médio: no município Cariré 917.0 ']",76
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Caririaçu ', 'O valor do Matrícula em distorção no ensino fundamental: no município Caririaçu 1956.0 ']",77
"['Quantidade no Matrícula em distorção no ensino médio na cidade Caririaçu em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na cidade Caririaçu 1956.0 ']",78
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na cidade Cariús ', 'O valor do Matrícula em distorção no ensino fundamental: na cidade Cariús 563.0 ']",79
"['Quais os números Matrícula em distorção no ensino médio no município Cariús em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: no município Cariús 563.0']",80
"['Quantidade no Matrícula em distorção no ensino fundamental na unidade geográfica Carnaubal em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na unidade geográfica Carnaubal 547.0 ']",81
"['Qual o Matrícula em distorção no ensino médio no município Carnaubal em 2007 ', 'O Matrícula em distorção no ensino médio no município Carnaubal é 547.0 ']",82
"['Quantidade no Matrícula em distorção no ensino fundamental na cidade Cascavel em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Cascavel 2689.0 ']",83
"['Qual o Matrícula em distorção no ensino médio na cidade Cascavel em 2007 ', 'O Matrícula em distorção no ensino médio na cidade Cascavel é 2689.0 ']",84
"['Quais os números Matrícula em distorção no ensino fundamental no município Catarina em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Catarina 414.0']",85
"['Quantidade no Matrícula em distorção no ensino médio no município Catarina em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: no município Catarina 414.0 ']",86
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Catunda ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Catunda 430.0 ']",87
"['Quais os números Matrícula em distorção no ensino médio no município Catunda em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: no município Catunda 430.0']",88
"['Quantidade no Matrícula em distorção no ensino fundamental no município Caucaia em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: no município Caucaia 13231.0 ']",89
"['Número do Matrícula em distorção no ensino médio  em 2007 na cidade Caucaia ', 'Número do Matrícula em distorção no ensino médio na cidade Caucaia 13231.0 ']",90
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 no município Cedro ', 'O nível do Matrícula em distorção no ensino fundamental no município Cedro é: 1005.0 ']",91
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Cedro ', 'O nível do Matrícula em distorção no ensino médio na cidade Cedro é: 1005.0 ']",92
"['Qual o Matrícula em distorção no ensino fundamental na cidade Chaval em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Chaval é 634.0 ']",93
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Chaval ', 'O nível do Matrícula em distorção no ensino médio na cidade Chaval é: 634.0 ']",94
"['Quais os números Matrícula em distorção no ensino fundamental na unidade geográfica Choró em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na unidade geográfica Choró 784.0']",95
"['Quantidade no Matrícula em distorção no ensino médio na unidade geográfica Choró em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na unidade geográfica Choró 784.0 ']",96
"['Qual o Matrícula em distorção no ensino fundamental no município Chorozinho em 2007 ', 'O Matrícula em distorção no ensino fundamental no município Chorozinho é 1248.0 ']",97
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 no município Chorozinho ', 'O nível do Matrícula em distorção no ensino médio no município Chorozinho é: 1248.0 ']",98
"['Número do Matrícula em distorção no ensino fundamental  em 2007 no município Coreaú ', 'Número do Matrícula em distorção no ensino fundamental no município Coreaú 865.0 ']",99
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Coreaú ', 'O valor do Matrícula em distorção no ensino médio: na cidade Coreaú 865.0 ']",100
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Crateús ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Crateús 3279.0 ']",101
"['Número do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica Crateús ', 'Número do Matrícula em distorção no ensino médio na unidade geográfica Crateús 3279.0 ']",102
"['Quantidade no Matrícula em distorção no ensino fundamental no município Crato em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: no município Crato 4705.0 ']",103
"['Quantidade no Matrícula em distorção no ensino médio na unidade geográfica Crato em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na unidade geográfica Crato 4705.0 ']",104
"['Qual o Matrícula em distorção no ensino fundamental na cidade Croatá em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Croatá é 102.0 ']",105
"['Quais os números Matrícula em distorção no ensino médio na cidade Croatá em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Croatá 102.0']",106
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Cruz ', 'O valor do Matrícula em distorção no ensino fundamental: no município Cruz 818.0 ']",107
"['Número do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica Cruz ', 'Número do Matrícula em distorção no ensino médio na unidade geográfica Cruz 818.0 ']",108
"['Quais os números Matrícula em distorção no ensino fundamental na unidade geográfica Deputado Irapuan Pinheiro em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na unidade geográfica Deputado Irapuan Pinheiro 297.0']",109
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 no município Deputado Irapuan Pinheiro ', 'O nível do Matrícula em distorção no ensino médio no município Deputado Irapuan Pinheiro é: 297.0 ']",110
"['Quantidade no Matrícula em distorção no ensino fundamental na unidade geográfica Ereré em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na unidade geográfica Ereré 325.0 ']",111
"['Qual o Matrícula em distorção no ensino médio no município Ereré em 2007 ', 'O Matrícula em distorção no ensino médio no município Ereré é 325.0 ']",112
"['Quais os números Matrícula em distorção no ensino fundamental na unidade geográfica Eusébio em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na unidade geográfica Eusébio 1397.0']",113
"['Quais os números Matrícula em distorção no ensino médio no município Eusébio em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: no município Eusébio 1397.0']",114
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na cidade Farias Brito ', 'Número do Matrícula em distorção no ensino fundamental na cidade Farias Brito 712.0 ']",115
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Farias Brito ', 'O valor do Matrícula em distorção no ensino médio: na cidade Farias Brito 712.0 ']",116
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Forquilha em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Forquilha 714.0']",117
"['Quantidade no Matrícula em distorção no ensino médio no município Forquilha em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: no município Forquilha 714.0 ']",118
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Fortaleza em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Fortaleza 82919.0']",119
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Fortaleza ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Fortaleza é: 82919.0 ']",120
"['Quais os números Matrícula em distorção no ensino fundamental no município Fortim em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Fortim 557.0']",121
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Fortim ', 'Número do Matrícula em distorção no ensino médio no município Fortim 557.0 ']",122
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Frecheirinha ', 'O valor do Matrícula em distorção no ensino fundamental: no município Frecheirinha 625.0 ']",123
"['Quais os números Matrícula em distorção no ensino médio na cidade Frecheirinha em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Frecheirinha 625.0']",124
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade General Sampaio ', 'O nível do Matrícula em distorção no ensino fundamental na cidade General Sampaio é: 504.0 ']",125
"['Número do Matrícula em distorção no ensino médio  em 2007 na unidade geográfica General Sampaio ', 'Número do Matrícula em distorção no ensino médio na unidade geográfica General Sampaio 504.0 ']",126
"['Qual o Matrícula em distorção no ensino fundamental na cidade Graça em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Graça é 980.0 ']",127
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Graça ', 'O nível do Matrícula em distorção no ensino médio na cidade Graça é: 980.0 ']",128
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Granja ', 'O valor do Matrícula em distorção no ensino fundamental: no município Granja 2611.0 ']",129
"['Quais os números Matrícula em distorção no ensino médio na cidade Granja em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Granja 2611.0']",130
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 no município Granjeiro ', 'O nível do Matrícula em distorção no ensino fundamental no município Granjeiro é: 481.0 ']",131
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Granjeiro ', 'O valor do Matrícula em distorção no ensino médio: na cidade Granjeiro 481.0 ']",132
"['Número do Matrícula em distorção no ensino fundamental  em 2007 no município Groaíras ', 'Número do Matrícula em distorção no ensino fundamental no município Groaíras 600.0 ']",133
"['Quais os números Matrícula em distorção no ensino médio na unidade geográfica Groaíras em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na unidade geográfica Groaíras 600.0']",134
"['Quantidade no Matrícula em distorção no ensino fundamental na cidade Guaiúba em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Guaiúba 1045.0 ']",135
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Guaiúba ', 'Número do Matrícula em distorção no ensino médio no município Guaiúba 1045.0 ']",136
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na unidade geográfica Guaraciaba do Norte ', 'O nível do Matrícula em distorção no ensino fundamental na unidade geográfica Guaraciaba do Norte é: 2067.0 ']",137
"['Quais os números Matrícula em distorção no ensino médio no município Guaraciaba do Norte em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: no município Guaraciaba do Norte 2067.0']",138
"['Quais os números Matrícula em distorção no ensino fundamental no município Guaramiranga em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: no município Guaramiranga 198.0']",139
"['Quantidade no Matrícula em distorção no ensino médio na cidade Guaramiranga em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na cidade Guaramiranga 198.0 ']",140
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na cidade Hidrolândia ', 'O valor do Matrícula em distorção no ensino fundamental: na cidade Hidrolândia 1305.0 ']",141
"['Qual o Matrícula em distorção no ensino médio na cidade Hidrolândia em 2007 ', 'O Matrícula em distorção no ensino médio na cidade Hidrolândia é 1305.0 ']",142
"['Número do Matrícula em distorção no ensino fundamental  em 2007 no município Horizonte ', 'Número do Matrícula em distorção no ensino fundamental no município Horizonte 2421.0 ']",143
"['Quais os números Matrícula em distorção no ensino médio na unidade geográfica Horizonte em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na unidade geográfica Horizonte 2421.0']",144
"['Qual o Matrícula em distorção no ensino fundamental na cidade Ibaretama em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Ibaretama é 679.0 ']",145
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Ibaretama ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Ibaretama é: 679.0 ']",146
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Ibiapina ', 'Número do Matrícula em distorção no ensino fundamental na unidade geográfica Ibiapina 1457.0 ']",147
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Ibiapina ', 'O valor do Matrícula em distorção no ensino médio: na cidade Ibiapina 1457.0 ']",148
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Ibicuitinga ', 'O valor do Matrícula em distorção no ensino fundamental: no município Ibicuitinga 556.0 ']",149
"['Qual o Matrícula em distorção no ensino médio na cidade Ibicuitinga em 2007 ', 'O Matrícula em distorção no ensino médio na cidade Ibicuitinga é 556.0 ']",150
"['Quais os números Matrícula em distorção no ensino fundamental na cidade Icapuí em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na cidade Icapuí 1051.0']",151
"['Quais os números Matrícula em distorção no ensino médio na cidade Icapuí em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Icapuí 1051.0']",152
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Icó ', 'O valor do Matrícula em distorção no ensino fundamental: no município Icó 3295.0 ']",153
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Icó ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Icó é: 3295.0 ']",154
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade Iguatu ', 'O nível do Matrícula em distorção no ensino fundamental na cidade Iguatu é: 2831.0 ']",155
"['Quantidade no Matrícula em distorção no ensino médio no município Iguatu em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: no município Iguatu 2831.0 ']",156
"['Qual o Matrícula em distorção no ensino fundamental na cidade Independência em 2007 ', 'O Matrícula em distorção no ensino fundamental na cidade Independência é 781.0 ']",157
"['Quais os números Matrícula em distorção no ensino médio na unidade geográfica Independência em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na unidade geográfica Independência 781.0']",158
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Ipaporanga ', 'Número do Matrícula em distorção no ensino fundamental na unidade geográfica Ipaporanga 411.0 ']",159
"['Número do Matrícula em distorção no ensino médio  em 2007 na cidade Ipaporanga ', 'Número do Matrícula em distorção no ensino médio na cidade Ipaporanga 411.0 ']",160
"['Quais os números Matrícula em distorção no ensino fundamental na unidade geográfica Ipaumirim em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na unidade geográfica Ipaumirim 763.0']",161
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Ipaumirim ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Ipaumirim é: 763.0 ']",162
"['Quantidade no Matrícula em distorção no ensino fundamental na cidade Ipu em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Ipu 2314.0 ']",163
"['Quantidade no Matrícula em distorção no ensino médio na unidade geográfica Ipu em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na unidade geográfica Ipu 2314.0 ']",164
"['Quantidade no Matrícula em distorção no ensino fundamental na unidade geográfica Ipueiras em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na unidade geográfica Ipueiras 2650.0 ']",165
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Ipueiras ', 'O nível do Matrícula em distorção no ensino médio na cidade Ipueiras é: 2650.0 ']",166
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na cidade Iracema ', 'Número do Matrícula em distorção no ensino fundamental na cidade Iracema 421.0 ']",167
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 no município Iracema ', 'O nível do Matrícula em distorção no ensino médio no município Iracema é: 421.0 ']",168
